,kId,group,make,model,year,imageLink,stockPerformancePoints,maxPerformancePoints,stockDrivetrain,stockIngamePrice,carSource,stockSpeed,stockHandling,stockAcceleration,stockLaunch,stockBraking,stockOffroad,stockTopSpeedKmh,stockLateralGs,stock0To97,stock0To161,stockHorsepower,stockWeightLbs
19,20,HYPERCARS,Aston Martin,Valhalla Concept Car,2019,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_020.jpg?v=1,959,999.0,AWD,1150000,Autoshow,8.5,9.2,10.0,10.0,9.4,4.6,389.9,1.36,1.95,3.884,1042,3097
20,21,RETRO RALLY,Audi,Sport quattro,1983,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_021.jpg?v=1,638,946.0,AWD,175000,Autoshow,5.7,5.0,5.5,2.9,4.0,5.7,253.8,0.91,4.517,12.518,306,2807
21,22,RETRO SALOONS,Audi,Avant RS2,1995,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_022.jpg?v=1,601,927.0,AWD,50000,Autoshow,6.0,5.1,5.0,5.3,3.2,5.2,265.8,0.87,4.8,13.1,311,3517
22,23,RETRO SALOONS,Audi,RS 4 Avant,2001,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_023.jpg?v=1,663,938.0,AWD,94000,Autoshow,6.4,5.8,5.5,4.7,3.6,5.2,282.5,0.92,4.531,11.6,375,3571
23,24,RETRO SALOONS,Audi,RS 6,2003,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_024.jpg?v=1,677,931.0,AWD,105000,Autoshow,6.8,5.7,5.1,5.0,4.1,5.4,301.9,0.9,4.4,10.7,450,4024
24,25,SUPER SALOONS,Audi,RS 4,2006,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_025.jpg?v=1,710,944.0,AWD,53000,Autoshow,6.9,6.1,6.0,5.5,4.4,5.3,306.7,0.93,4.7,11.2,420,3638
25,26,SUPER SALOONS,Audi,RS 6,2009,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_026.jpg?v=1,722,935.0,AWD,155000,Autoshow,7.5,6.0,6.1,6.7,5.8,5.5,319.3,0.93,4.4,9.9,570,4376
26,27,MODERN SPORTS CARS,Audi,TT RS Coupé,2010,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_027.jpg?v=1,707,956.0,AWD,66000,Autoshow,6.6,6.1,5.8,7.0,4.4,5.4,291.5,0.96,4.382,11.1,335,3294
27,28,SUPER HOT HATCH,Audi,RS 3 Sportback,2011,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_028.jpg?v=1,682,936.0,AWD,42000,Autoshow,6.0,6.1,5.2,6.5,4.1,5.5,267.2,0.92,4.5,11.7,335,3472
28,29,SUPER SALOONS,Audi,RS 5 Coupé,2011,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_029.jpg?v=1,733,947.0,AWD,88000,Autoshow,6.8,6.2,5.8,5.7,5.9,5.5,297.9,0.96,4.5,10.1,442,3830
29,30,SUPER SALOONS,Audi,RS 4 Avant,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_030.jpg?v=1,728,949.0,AWD,83000,Autoshow,7.0,6.2,5.5,5.2,5.2,5.2,300.9,0.94,4.7,10.4,444,3957
30,31,SUPER SALOONS,Audi,RS 7 Sportback,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_031.jpg?v=1,739,945.0,AWD,225000,Autoshow,7.6,5.9,7.0,8.2,5.6,5.3,330.4,0.92,3.7,8.7,552,4310
31,32,MODERN SUPERCARS,Audi,R8 Coupé V10 plus 5.2 FSI quattro,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_032.jpg?v=1,802,969.0,AWD,290000,Wheelspin,7.3,7.0,7.1,6.6,6.9,5.0,325.6,1.01,3.211,7.112,542,3682
32,33,SUPER SALOONS,Audi,RS 6 Avant,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_033.jpg?v=1,754,953.0,AWD,150000,Autoshow,7.4,6.0,7.5,8.3,5.3,5.2,326.2,0.94,3.7,8.7,552,4266
33,34,MODERN SPORTS CARS,Audi,TTS Coupé,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_034.jpg?v=1,724,925.0,AWD,52000,Autoshow,6.7,6.3,5.8,6.4,4.0,5.2,296.4,0.96,5.1,12.8,310,3053
34,35,HOT HATCH,Audi,S1,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_035.jpg?v=1,644,955.0,AWD,35000,Autoshow,5.6,5.9,5.2,4.4,3.7,5.6,248.7,0.92,5.8,14.0,228,2899
35,36,MODERN SUPERCARS,Audi,R8 V10 plus,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_036.jpg?v=1,834,976.0,AWD,242000,Autoshow,7.8,7.1,7.8,7.4,7.3,5.1,347.4,1.11,2.7,6.116,610,3428
36,37,CLASSIC SPORTS CARS,Austin-Healey,Sprite MkI,1958,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_037.jpg?v=1,131,931.0,RWD,20000,Autoshow,3.1,3.7,1.9,2.5,1.8,4.9,143.4,0.74,20.923,,45,1463
37,38,VINTAGE RACERS,Auto Union,Type D,1939,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_038.jpg?v=1,675,824.0,RWD,15000000,Autoshow,8.4,4.2,4.5,3.4,2.7,4.2,367.1,0.84,3.787,8.47,485,2816
38,39,TRACK TOYS,BAC,Mono,2014,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_039.jpg?v=1,868,991.0,RWD,160000,Wheelspin,6.1,8.1,6.3,6.7,8.1,3.9,276.6,1.29,2.788,6.684,280,1354
39,40,VINTAGE RACERS,Bentley,Blower 4-1/2 Litre Supercharged,1930,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_040.jpg?v=1,207,920.0,RWD,4000000,Autoshow,3.7,3.3,2.1,2.3,1.9,5.8,166.9,0.64,10.383,39.0,175,4395
40,41,RARE CLASSICS,Bentley,8 Litre,1930,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_041.jpg?v=1,181,887.0,RWD,1500000,Autoshow,3.7,3.5,2.4,1.8,1.8,5.7,165.9,0.63,16.0,49.983,220,5600
41,42,SPORTS UTILITY HEROES,Bentley,Bentayga,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_042.jpg?v=1,727,927.0,AWD,180000,Autoshow,7.0,5.0,6.2,7.4,4.0,6.5,309.9,0.92,4.4,10.1,599,5340
42,43,GT CARS,Bentley,Continental Supersports,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_043.jpg?v=1,769,931.0,AWD,200000,Autoshow,7.6,6.1,8.0,9.1,5.8,4.9,338.2,0.92,3.53,7.89,700,5029
43,44,CULT CARS,BMW,Isetta 300 Export,1957,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_044.jpg?v=1,100,936.0,RWD,45000,Autoshow,1.8,3.4,1.2,2.7,2.4,4.7,88.7,0.71,,,13,920
44,45,RETRO SUPERCARS,BMW,M1,1981,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_045.jpg?v=1,629,963.0,RWD,585000,Autoshow,5.9,5.0,4.4,3.1,3.2,4.7,263.3,0.89,5.6,13.118,277,2866
45,46,RETRO SALOONS,BMW,M5,1988,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_046.jpg?v=1,583,945.0,RWD,54000,Autoshow,5.8,4.4,4.3,3.9,3.1,5.1,255.4,0.86,5.8,14.5,282,3230
46,47,RETRO SALOONS,BMW,M3,1991,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_047.jpg?v=1,583,965.0,RWD,70000,Autoshow,5.6,4.7,4.3,3.4,3.1,4.9,249.8,0.89,7.0,17.0,215,2762
47,48,RETRO SALOONS,BMW,M5,1995,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_048.jpg?v=1,634,950.0,RWD,25000,Autoshow,6.7,5.2,4.6,4.2,3.6,4.8,290.8,0.89,5.583,13.882,342,3772
48,49,RETRO SALOONS,BMW,M3,1997,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_049.jpg?v=1,665,957.0,RWD,35000,Autoshow,6.5,4.9,4.9,5.2,3.6,5.2,282.1,0.92,5.283,12.182,321,3219
49,50,TRACK TOYS,BMW,M3-GTR,2002,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_050.jpg?v=1,747,966.0,RWD,180000,Autoshow,6.7,6.5,5.4,5.7,4.9,4.7,292.3,0.99,3.986,9.384,375,3096
50,51,RETRO SPORTS CARS,BMW,Z3 M Coupe,2002,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_051.jpg?v=1,675,956.0,RWD,30000,Autoshow,6.1,5.3,4.9,5.0,3.7,4.9,272.0,0.93,4.784,11.283,315,3170
51,52,RETRO SALOONS,BMW,M5,2003,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_052.jpg?v=1,694,948.0,RWD,30000,Autoshow,7.1,5.5,5.0,5.2,3.8,5.1,309.8,0.92,4.8,11.283,394,3900
52,53,RETRO SALOONS,BMW,M3,2005,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_053.jpg?v=1,675,954.0,RWD,33000,Autoshow,6.4,5.3,5.0,5.0,3.8,5.0,283.2,0.92,4.685,11.6,333,3415
53,54,SUPER SALOONS,BMW,M3,2008,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_054.jpg?v=1,725,965.0,RWD,48000,Autoshow,6.8,5.8,5.0,5.3,4.5,4.5,299.7,0.95,4.086,9.384,414,3649
54,55,MODERN SPORTS CARS,BMW,Z4 M Coupe,2008,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_055.jpg?v=1,694,944.0,RWD,82000,Autoshow,6.4,5.8,5.4,4.9,4.3,5.2,282.8,0.96,4.9,12.183,330,3296
55,56,SUPER SALOONS,BMW,M5,2009,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_056.jpg?v=1,719,935.0,RWD,90000,Autoshow,7.1,5.9,5.1,4.9,4.4,4.9,310.9,0.93,4.1,9.485,500,4012
56,57,SUPER SALOONS,BMW,1 Series M Coupe,2011,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_057.jpg?v=1,712,957.0,RWD,55000,Autoshow,6.4,5.9,5.2,5.4,4.5,4.8,283.7,0.96,4.685,11.583,335,3296
57,58,SPORTS UTILITY HEROES,BMW,X5 M,2011,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_058.jpg?v=1,666,927.0,AWD,100000,Autoshow,6.4,4.8,5.9,6.6,3.7,6.3,282.9,0.89,4.016,10.0,547,5368
58,59,SUPER SALOONS,BMW,M5,2012,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_059.jpg?v=1,766,947.0,RWD,112000,Autoshow,7.4,6.0,5.3,5.6,4.8,4.6,325.1,0.97,4.072,9.467,552,4123
59,60,GT CARS,BMW,M6 Coupe,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_060.jpg?v=1,758,940.0,RWD,120000,Autoshow,7.5,5.8,5.0,5.2,5.9,4.6,327.9,0.95,4.1,8.5,560,4255
60,61,SUPER SALOONS,BMW,M4 Coupe,2014,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_061.jpg?v=1,782,973.0,RWD,92000,Autoshow,7.1,6.2,5.3,5.6,6.5,4.7,312.9,0.99,3.887,9.964,431,3389
61,62,MODERN SUPERCARS,BMW,i8,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_062.jpg?v=1,764,942.0,AWD,140000,Autoshow,7.2,6.4,7.7,8.7,4.6,4.9,319.1,0.97,3.6,9.0,357,3380
62,63,SPORTS UTILITY HEROES,BMW,X6 M,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_063.jpg?v=1,687,923.0,AWD,130000,Wheelspin,6.5,4.9,6.0,6.6,4.1,5.8,288.2,0.92,4.0,9.8,567,5185
63,64,SUPER SALOONS,BMW,M2 Coupé,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_064.jpg?v=1,718,960.0,RWD,69000,Autoshow,6.5,5.7,5.2,5.5,4.6,4.8,286.6,0.95,4.186,9.954,365,3450
64,65,TRACK TOYS,BMW,M4 GTS,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_065.jpg?v=1,814,959.0,RWD,135000,Car Collection,7.2,7.6,5.7,6.0,7.0,4.0,317.0,1.12,3.682,7.955,493,3329
65,66,SUPER SALOONS,BMW,M5,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_066.jpg?v=1,784,949.0,AWD,105000,Autoshow,7.6,6.1,8.7,9.7,6.2,5.1,334.4,0.95,2.8,6.6,600,4370
66,67,MODERN SPORTS CARS,BMW,Z4 Roadster,2019,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_067.jpg?v=1,751,962.0,RWD,35000,Autoshow,6.7,6.0,5.6,6.0,4.4,4.6,293.8,0.99,4.385,9.884,382,3252
67,68,VINTAGE RACERS,Bugatti,Type 35 C,1926,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_068.jpg?v=1,285,906.0,RWD,1300000,Autoshow,4.0,3.4,2.5,1.4,1.9,4.9,179.6,0.73,10.681,33.8,95,1676
68,69,RETRO SUPERCARS,Bugatti,EB110 Super Sport,1992,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_069.jpg?v=1,805,986.0,AWD,1700000,Autoshow,8.3,6.5,8.0,3.8,5.2,4.9,366.5,1.11,3.6,8.2,611,3126
69,70,HYPERCARS,Bugatti,Veyron Super Sport,2011,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_070.jpg?v=1,913,999.0,AWD,2200000,Autoshow,9.9,7.9,10.0,5.9,8.6,4.9,431.5,1.26,2.4,5.0,1183,4044
70,71,HYPERCARS,Bugatti,Chiron,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_071.jpg?v=1,927,999.0,AWD,2400000,Autoshow,10.0,7.9,9.9,6.1,8.6,5.0,438.1,1.25,2.4,4.9,1479,4398
71,72,EXTREME TRACK TOYS,Bugatti,Divo,2019,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_072.jpg?v=1,958,999.0,AWD,3000000,Autoshow,9.6,9.9,10.0,6.2,9.5,4.4,422.1,1.62,2.378,4.8,1479,4321
72,73,CLASSIC MUSCLE,Buick,GSX,1970,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_073.jpg?v=1,558,945.0,RWD,80000,Autoshow,5.1,3.5,3.3,3.2,2.5,5.1,226.5,0.79,6.485,13.484,360,3874
73,74,RETRO MUSCLE,Buick,Regal GNX,1987,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_074.jpg?v=1,564,925.0,RWD,130000,Autoshow,5.7,4.0,3.8,2.5,2.5,5.5,254.8,0.83,4.687,12.867,300,3545
74,75,MODERN MUSCLE,Cadillac,ATS-V,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_075.jpg?v=1,716,920.0,RWD,65000,Autoshow,7.0,5.5,5.2,3.4,4.2,5.1,297.7,0.94,4.186,9.884,464,3700
75,76,MODERN MUSCLE,Cadillac,CTS-V Sedan,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_076.jpg?v=1,761,949.0,RWD,80000,Autoshow,7.2,5.3,4.9,5.2,4.4,4.7,320.7,0.94,3.478,7.374,640,4128
76,77,UTV'S,Can-Am,Maverick X RS Turbo R,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_077.jpg?v=1,670,922.0,AWD,25000,Autoshow,3.9,3.7,6.8,9.6,4.5,9.7,179.4,0.94,4.383,13.1,172,1655
77,78,TRACK TOYS,Caterham,Superlight R500,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_078.jpg?v=1,786,956.0,RWD,82000,Autoshow,5.6,5.4,5.7,6.2,4.6,3.9,250.7,1.09,2.889,6.957,263,1116
78,79,RODS AND CUSTOMS,Chevrolet,150 Utility Sedan,1955,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_079.jpg?v=1,360,955.0,RWD,35000,Autoshow,4.5,3.5,3.2,2.5,2.0,5.8,198.1,0.73,9.7,28.9,180,3309
79,80,RODS AND CUSTOMS,Chevrolet,Bel Air,1957,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_080.jpg?v=1,432,947.0,RWD,130000,Autoshow,4.8,3.8,2.8,1.6,2.1,6.0,210.1,0.75,7.347,19.616,220,3337
80,81,CLASSIC SPORTS CARS,Chevrolet,Corvette,1960,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_081.jpg?v=1,541,852.0,RWD,150000,Car Collection,5.4,4.0,3.6,2.8,2.5,5.6,238.2,0.78,6.6,15.1,290,3080
81,82,RODS AND CUSTOMS,Chevrolet,Impala Super Sport 409,1964,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_082.jpg?v=1,544,941.0,RWD,46000,Autoshow,5.5,3.6,3.4,3.0,2.3,5.4,242.0,0.76,6.3,12.8,425,3877
82,83,CLASSIC MUSCLE,Chevrolet,Corvette Stingray 427,1967,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_083.jpg?v=1,623,929.0,RWD,150000,Autoshow,5.5,4.3,3.9,3.0,3.1,5.8,245.4,0.81,4.715,12.3,435,3384
83,84,CLASSIC MUSCLE,Chevrolet,Camaro Super Sport Coupe,1969,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_084.jpg?v=1,585,922.0,RWD,110000,Autoshow,5.0,4.2,3.8,2.9,3.1,5.8,224.2,0.83,6.384,16.281,375,3527
84,85,CLASSIC MUSCLE,Chevrolet,Nova Super Sport 396,1969,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_085.jpg?v=1,545,937.0,RWD,41000,Autoshow,5.4,3.9,3.5,2.9,2.4,5.3,239.0,0.77,6.0,13.4,375,3470
85,86,CLASSIC MUSCLE,Chevrolet,Chevelle Super Sport 454,1970,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_086.jpg?v=1,531,946.0,RWD,80000,Autoshow,4.7,3.6,3.3,3.2,2.4,5.4,208.7,0.77,6.071,13.468,450,3799
86,87,CLASSIC MUSCLE,Chevrolet,Corvette ZR-1,1970,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_087.jpg?v=1,610,932.0,RWD,310000,Wheelspin,4.9,4.3,3.9,2.9,3.1,5.4,219.7,0.83,5.7,16.079,370,3373
87,88,VANS AND UTILITY,Chevrolet,El Camino Super Sport 454,1970,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_088.jpg?v=1,544,942.0,RWD,65000,Autoshow,5.9,3.6,3.2,3.1,2.4,5.5,258.5,0.77,6.072,13.467,450,3820
88,89,CLASSIC MUSCLE,Chevrolet,Camaro Z28,1970,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_089.jpg?v=1,539,931.0,RWD,53000,Autoshow,5.1,3.7,3.4,3.3,2.4,4.9,227.2,0.78,5.772,14.167,360,3550
89,90,CLASSIC MUSCLE,Chevrolet,Camaro Z28,1979,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_090.jpg?v=1,466,949.0,RWD,35000,Autoshow,4.5,4.1,3.5,2.9,2.5,5.4,205.7,0.8,7.285,20.384,175,3560
90,91,RETRO MUSCLE,Chevrolet,Monte Carlo Super Sport,1988,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_091.jpg?v=1,396,952.0,RWD,25000,Autoshow,5.0,4.0,3.1,2.3,2.0,5.0,219.7,0.76,9.0,28.379,180,3522
91,92,RETRO MUSCLE,Chevrolet,Corvette ZR-1,1995,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_092.jpg?v=1,693,959.0,RWD,45000,Autoshow,6.5,5.2,4.8,4.0,3.7,4.5,289.9,0.95,4.9,10.8,405,3505
92,93,RETRO MUSCLE,Chevrolet,Impala Super Sport,1996,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_093.jpg?v=1,509,957.0,RWD,20000,Autoshow,5.0,4.3,3.6,2.6,2.7,5.2,223.8,0.83,6.485,17.884,260,4037
93,94,RETRO MUSCLE,Chevrolet,Corvette Z06,2002,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_094.jpg?v=1,722,944.0,RWD,35000,Autoshow,7.2,5.8,4.6,4.5,3.9,4.5,307.4,0.98,4.486,9.884,405,3120
94,95,MODERN MUSCLE,Chevrolet,Corvette ZR1,2009,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_095.jpg?v=1,809,963.0,RWD,125000,Autoshow,7.8,6.2,5.5,4.6,6.6,4.4,344.9,1.04,3.3,7.4,638,3350
95,96,MODERN MUSCLE,Chevrolet,Corvette Z06,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_096.jpg?v=1,852,987.0,RWD,110000,Autoshow,7.8,7.0,6.0,6.5,7.7,4.4,344.3,1.16,3.26,7.549,650,3536
96,97,TRACK TOYS,Chevrolet,Camaro Z/28,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_097.jpg?v=1,797,975.0,RWD,86000,Autoshow,6.7,6.8,5.5,5.4,7.2,4.4,293.9,1.13,4.384,9.482,505,3837
97,98,MODERN MUSCLE,Chevrolet,Camaro ZL1,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_098.jpg?v=1,821,962.0,RWD,60000,Autoshow,7.3,7.2,6.1,4.9,5.6,4.8,327.0,1.21,3.683,7.883,650,3883
98,99,PICK-UP & 4X4'S,Chevrolet,Colorado ZR2,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_099.jpg?v=1,530,934.0,AWD,46000,Autoshow,5.4,3.0,3.9,3.4,3.0,8.2,237.5,0.83,6.1,17.083,308,4734
99,100,TRACK TOYS,Chevrolet,Camaro ZL1 1LE,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_100.jpg?v=1,824,984.0,RWD,105000,Autoshow,6.9,7.8,5.8,5.2,6.0,4.3,309.2,1.25,3.586,7.967,650,3837
100,101,TRACK TOYS,Chevrolet,Corvette ZR1,2019,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_101.jpg?v=1,871,992.0,RWD,255000,Accolade,7.8,7.7,6.5,7.0,7.9,4.0,344.7,1.25,3.013,6.115,755,3560
